"","subject_id","cp","time","factor","gender","trial","response"
"1",1,1,"12:17:19",4,"Male","stage1_0",6.28847
"2",2,1,"12:26:50",4,"Male","stage1_0",2.89368
"3",3,1,"12:32:44",1,"Male","stage1_0",2.90335
"4",4,1,"12:39:01",1,"Male","stage1_0",2.31163
"5",5,1,"12:47:01",4,"Male","stage1_0",2.37599
"6",6,1,"13:16:57",1,"Female","stage1_0",1.73848
"7",7,1,"13:22:47",3,"Female","stage1_0",2.86038
"8",8,1,"13:43:21",3,"Male","stage1_0",1.16144
"9",9,1,"10:52:27",1,"Male","stage1_0",1.41572
"10",10,2,"10:04:13",4,"Female","stage1_0",3.26318
"11",11,2,"10:21:28",2,"Female","stage1_0",5.91596
"12",12,2,"10:27:04",3,"Male","stage1_0",2.91885
"13",13,2,"10:31:06",3,"Male","stage1_0",1.94191
"14",14,2,"10:34:22",3,"Female","stage1_0",4.4535
"15",15,2,"10:45:03",2,"Female","stage1_0",1.87682
"16",17,2,"12:32:35",3,"Female","stage1_0",1.12456
"17",18,2,"13:08:45",1,"Female","stage1_0",1.84487
"18",19,2,"13:15:00",3,"Female","stage1_0",9.01665
"19",20,2,"12:47:50",2,"Male","stage1_0",1.25553
"20",21,2,"12:53:05",4,"Male","stage1_0",1.10227
"21",22,2,"15:06:18",3,"Female","stage1_0",7.6605
"22",24,2,"15:16:58",3,"Female","stage1_0",2.21359
"23",25,2,"15:19:44",1,"Female","stage1_0",2.03181
"24",26,2,"15:26:03",1,"Female","stage1_0",3.14117
"25",27,3,"12:09:09",4,"Female","stage1_0",4.41377
"26",28,3,"12:15:50",3,"Male","stage1_0",1.67281
"27",29,3,"12:18:55",1,"Female","stage1_0",1.50603
"28",30,3,"12:21:59",1,"Male","stage1_0",2.11635
"29",31,3,"12:24:52",4,"Female","stage1_0",4.97909
"30",32,3,"12:28:24",4,"Female","stage1_0",2.78485
"31",33,3,"12:30:56",3,"Male","stage1_0",2.1101
"32",34,3,"12:33:00",3,"Male","stage1_0",3.40687
"33",35,3,"12:37:44",1,"Male","stage1_0",1.65042
"34",36,3,"12:42:25",2,"Female","stage1_0",3.14395
"35",37,3,"12:46:01",2,"Female","stage1_0",4.53097
