"","subject_id","time","gender","cp","prodiversity","antistereotype","iat_d"
"1",1,10:31:06,"Male",2,FALSE,TRUE,0.103
"2",2,10:34:22,"Female",2,FALSE,TRUE,-0.166
"3",3,10:45:03,"Female",2,TRUE,FALSE,0.308
"4",4,10:48:56,"Female",2,TRUE,TRUE,0.672
"5",5,10:52:27,"Male",1,FALSE,FALSE,0.16
"6",6,11:42:21,"Male",3,TRUE,TRUE,0.049
"7",7,12:09:09,"Female",3,TRUE,TRUE,-0.545
"8",8,12:15:50,"Male",3,FALSE,TRUE,0.641
"9",9,12:17:19,"Male",1,TRUE,TRUE,0.798
"10",10,12:18:55,"Female",3,FALSE,FALSE,0.066
"11",11,12:21:36,"Female",1,TRUE,FALSE,-0.114
"12",12,12:21:59,"Male",3,FALSE,FALSE,0.431
"13",13,12:24:52,"Female",3,TRUE,TRUE,-0.128
"14",14,12:26:50,"Male",1,TRUE,TRUE,-0.194
"15",15,12:28:24,"Female",3,TRUE,TRUE,0.618
"16",16,12:30:56,"Male",3,FALSE,TRUE,0.003
"17",17,12:32:35,"Female",2,FALSE,TRUE,0.051
"18",18,12:32:44,"Male",1,FALSE,FALSE,-0.433
"19",19,12:33:00,"Male",3,FALSE,TRUE,0.571
"20",20,12:37:44,"Male",3,FALSE,FALSE,0.684
"21",21,12:39:01,"Male",1,FALSE,FALSE,0.169
"22",22,12:42:25,"Female",3,TRUE,FALSE,-0.429
"23",23,12:43:46,"Male",1,FALSE,TRUE,-0.209
"24",24,12:46:01,"Female",3,TRUE,FALSE,0.618
"25",25,12:47:01,"Male",1,TRUE,TRUE,0.006
"26",26,12:53:05,"Male",2,TRUE,TRUE,-0.216
"27",27,13:04:00,"Male",3,TRUE,FALSE,0.637
"28",28,13:08:03,"Female",3,TRUE,FALSE,0.022
"29",29,13:08:45,"Female",2,FALSE,FALSE,-0.059
"30",30,13:13:36,"Female",1,TRUE,TRUE,-0.099
"31",31,13:15:00,"Female",2,FALSE,TRUE,-0.662
"32",32,13:15:24,"Female",3,TRUE,TRUE,-0.59
"33",33,13:16:57,"Female",1,FALSE,FALSE,-0.221
"34",34,13:19:44,"Male",3,TRUE,FALSE,-0.355
"35",35,13:22:47,"Female",1,FALSE,TRUE,0.058
"36",36,13:34:05,"Female",3,TRUE,FALSE,-0.281
"37",37,13:43:21,"Male",1,FALSE,TRUE,0.356
"38",38,15:06:18,"Female",2,FALSE,TRUE,-0.148
"39",39,15:10:15,"Female",2,FALSE,FALSE,-0.451
"40",40,15:16:58,"Female",2,FALSE,TRUE,-0.023
"41",41,15:19:44,"Female",2,FALSE,FALSE,-0.47
"42",42,15:26:03,"Female",2,FALSE,FALSE,0.943
"43",43,18:44:15,"Male",3,TRUE,FALSE,0.13
"44",44,22:25:03,"Male",3,TRUE,FALSE,0.354
"45",45,22:28:54,"Male",3,TRUE,FALSE,0.115
"46",46,22:32:27,"Male",3,FALSE,FALSE,0.78
"47",47,22:33:35,"Male",1,TRUE,FALSE,0.475
"48",48,22:37:33,"Male",3,TRUE,TRUE,0.907
